Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.572794,-1.358183,11,Torwell Drive,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 7HY,United Kingdom
54.522256,-1.361415,82,Mayfield Crescent,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16 0NN,United Kingdom
54.712432,-1.249182,100,Clavering Road,Hartlepool,Hartlepool,,Hartlepool,,TS27 3PZ,United Kingdom
54.570008,-1.22613,1,Talbot Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 3EP,United Kingdom
54.556015,-1.358817,14,Penhill Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 5NN,United Kingdom
54.578808,-1.233943,,Exchange Place,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1,United Kingdom
54.737152,-1.320606,,Gary Avenue,Blackhall Colliery,Hartlepool,,County Durham,,TS27 4QR,United Kingdom
54.563331,-0.989576,3,Marske Lane,Skelton-in-Cleveland,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2HA,United Kingdom
54.532257,-1.047678,7,Easby Close,Guisborough,Guisborough,,Redcar and Cleveland,,TS14 7AW,United Kingdom
54.51496,-1.279446,17,Beech Grove,Maltby,Middlesbrough,,Stockton-on-Tees,,TS8 0BL,United Kingdom
54.467776,-1.19634,27,West End,Stokesley,Middlesbrough,,North Yorkshire,,TS9 5BL,United Kingdom
54.57771,-1.232107,,Wilson Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1,United Kingdom
54.532885,-1.310816,18,Charrington Avenue,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0LG,United Kingdom
54.665885,-1.24307,6,Eskdale Road,Hartlepool,Hartlepool,,Hartlepool,,TS25 4AU,United Kingdom
54.61626,-1.071864,22,Kirkleatham Street,Redcar,Redcar,,Redcar and Cleveland,,TS10,United Kingdom
